"Name","State","Notes","User","Tags","Created","Runtime","Sweep","base_model","dtype","effective_wbits","eval_base","eval_datasets","model_seqlen","offload_activations","seed","trust_remote_code","use_fast_tokenizer","wandb","noise_level","wikitext2"
"Llama-2-7b-hf","finished","-","","","2024-08-15T02:01:09.000Z","38","","meta-llama/Llama-2-7b-hf","auto","1.345703125","false","[""wikitext2""]","4096","false","0","false","false","true","0.15481248727497707","5.828330993652344"
"Llama-2-7b-hf","finished","-","","","2024-08-15T02:01:07.000Z","86","","meta-llama/Llama-2-7b-hf","auto","1.19921875","false","[""wikitext2""]","4096","false","0","false","false","true","0.18966988014977684","6.705920696258545"
"Llama-2-7b-hf","finished","-","","","2024-08-15T02:01:02.000Z","38","","meta-llama/Llama-2-7b-hf","auto","1.732421875","false","[""wikitext2""]","4096","false","0","false","false","true","0.0905686931026272","5.285195827484131"
"Llama-2-7b-hf","finished","-","","","2024-08-15T02:00:53.000Z","38","","meta-llama/Llama-2-7b-hf","auto","1.322265625","false","[""wikitext2""]","4096","false","0","false","false","true","0.1599251509382087","6.048679351806641"
"Llama-2-7b-hf","finished","-","","","2024-08-15T02:00:53.000Z","38","","meta-llama/Llama-2-7b-hf","auto","1.216796875","false","[""wikitext2""]","4096","false","0","false","false","true","0.18510377847780896","6.35202693939209"
"Llama-2-7b-hf","finished","-","","","2024-08-15T02:00:50.000Z","38","","meta-llama/Llama-2-7b-hf","auto","1.333984375","false","[""wikitext2""]","4096","false","0","false","false","true","0.15734805494371457","5.862856864929199"
"Llama-2-7b-hf","finished","-","","","2024-08-15T02:00:23.000Z","37","","meta-llama/Llama-2-7b-hf","auto","1.298828125","false","[""wikitext2""]","4096","false","0","false","false","true","0.1652066597003947","6.078857898712158"
"Llama-2-7b-hf","finished","-","","","2024-08-15T02:00:23.000Z","37","","meta-llama/Llama-2-7b-hf","auto","1.251953125","false","[""wikitext2""]","4096","false","0","false","false","true","0.17629870102715883","6.283492565155029"
"Llama-2-7b-hf","finished","-","","","2024-08-15T02:00:19.000Z","37","","meta-llama/Llama-2-7b-hf","auto","1.638671875","false","[""wikitext2""]","4096","false","0","false","false","true","0.1031385983700386","5.387154579162598"
"Llama-2-7b-hf","finished","-","","","2024-08-15T02:00:07.000Z","38","","meta-llama/Llama-2-7b-hf","auto","1.123046875","false","[""wikitext2""]","4096","false","0","false","false","true","0.21079407918104917","7.524780750274658"
"Llama-2-7b-hf","finished","-","","","2024-08-15T02:00:07.000Z","77","","meta-llama/Llama-2-7b-hf","auto","1.17578125","false","[""wikitext2""]","4096","false","0","false","false","true","0.19593370499569412","6.652482509613037"
"Llama-2-7b-hf","finished","-","","","2024-08-15T02:00:04.000Z","38","","meta-llama/Llama-2-7b-hf","auto","1.240234375","false","[""wikitext2""]","4096","false","0","false","false","true","0.1791861766709736","6.2905192375183105"
"Llama-2-7b-hf","finished","-","","","2024-08-15T02:00:02.000Z","40","","meta-llama/Llama-2-7b-hf","auto","1.228515625","false","[""wikitext2""]","4096","false","0","false","false","true","0.18212094430018047","6.418363571166992"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:59:39.000Z","79","","meta-llama/Llama-2-7b-hf","auto","1.01171875","false","[""wikitext2""]","4096","false","0","false","false","true","0.245971402904147","11.602069854736328"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:59:37.000Z","38","","meta-llama/Llama-2-7b-hf","auto","1.158203125","false","[""wikitext2""]","4096","false","0","false","false","true","0.2007669570520964","7.085864543914795"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:59:37.000Z","37","","meta-llama/Llama-2-7b-hf","auto","1.205078125","false","[""wikitext2""]","4096","false","0","false","false","true","0.1881354664529258","6.446138381958008"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:59:36.000Z","38","","meta-llama/Llama-2-7b-hf","auto","1.544921875","false","[""wikitext2""]","4096","false","0","false","false","true","0.117453063628535","5.477657794952393"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:59:20.000Z","38","","meta-llama/Llama-2-7b-hf","auto","1.029296875","false","[""wikitext2""]","4096","false","0","false","false","true","0.24004990164538093","13.499711036682127"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:59:18.000Z","37","","meta-llama/Llama-2-7b-hf","auto","1.146484375","false","[""wikitext2""]","4096","false","0","false","false","true","0.20405518149840937","7.466310501098633"
