,solution_size,solution_pred_err,solution_real_err
0,13958643712.0,10.152664786386453,13964.04412984848
1,15032385536.0,6.620523765408505,227.9846510887146
2,16106127360.0,5.365264037644341,77.68314504623413
3,17179869184.0,4.371922375864982,32.61162328720093
4,18253611008.0,3.487724846540513,14.768273830413818
5,19327352832.0,2.675512082441178,9.780110836029053
6,20401094656.0,1.9810878202483408,5.6380934715271
7,21474836480.0,1.435723218890331,2.4891295433044434
8,22548578304.0,1.1367710527255503,1.1200499534606934
9,23622320128.0,0.9427756711275558,0.9072847366333008
10,24696061952.0,0.7776528082691756,0.7422122955322266
11,25769803776.0,0.6289887810565552,0.611783504486084
12,26843545600.0,0.49449270024550696,0.4894742965698242
13,27917287424.0,0.3861431112053335,0.3922896385192871
14,28991029248.0,0.3092048674842204,0.3098464012145996
15,30064771072.0,0.2651692187869828,0.26773881912231445
16,31138512896.0,0.24378782095389273,0.2311406135559082
17,32208060416.0,0.2266778149107853,0.21033000946044922
18,33285996544.0,0.21028286334232982,0.19218158721923828
19,34359738368.0,0.19482430159894754,0.18442153930664062
20,35433480192.0,0.18146056935874008,0.17022037506103516
21,36507222016.0,0.16872975096382106,0.15348243713378906
22,37580963840.0,0.1564243122511955,0.1419234275817871
23,38654705664.0,0.14445502818252465,0.1342296600341797
24,39728447488.0,0.1330266918727329,0.12398815155029297
25,40802189312.0,0.12192795366431788,0.11248779296875
26,41875931136.0,0.11104909694946588,0.10483455657958984
27,42949672960.0,0.10040079521314933,0.09464502334594727
28,44023414784.0,0.0900291505218805,0.08701467514038086
29,45097156608.0,0.07992916475008731,0.07939481735229492
30,46170898432.0,0.07010829208229377,0.07178544998168945
31,47244640256.0,0.06053885490397585,0.06165456771850586
32,48318382080.0,0.05092975358465999,0.0578608512878418
33,49392123904.0,0.041909766695689084,0.04775524139404297
34,50465865728.0,0.0337720375590756,0.040187835693359375
35,51539607552.0,0.02639585355417518,0.0313725471496582
36,52613349376.0,0.019327735301989078,0.02885580062866211
37,53687091200.0,0.01273245456411598,0.02131366729736328
38,54744055808.0,0.006810712495165312,0.013782501220703125
39,55834574848.0,0.0018851703564787205,0.006260395050048828
