,Name,Commit,_runtime,_step,_timestamp,_wandb,relative_mse,wikitext2,seed,dtype,wandb,eval_base,layer_idx,base_model,device_map,model_seqlen,eval_datasets,effective_wbits,trust_remote_code,use_fast_tokenizer,offload_activations,mse
1271,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,39.603853702545166,1.0,1725073598.0906248,{'runtime': 39},0.43906304009332486,6.442691802978516,0,auto,True,False,30,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],0.59375,False,False,False,0.43906304009332486
1272,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,65.86406373977661,1.0,1725073596.732968,{'runtime': 65},0.0005098993078258856,5.60500955581665,0,auto,True,False,9,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],5.46875,False,False,False,0.0005098993078258856
1273,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,39.08601665496826,1.0,1725073547.3445866,{'runtime': 38},0.43906304009332486,6.2375054359436035,0,auto,True,False,29,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],0.59375,False,False,False,0.43906304009332486
1274,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,39.08291649818421,1.0,1725073498.8975084,{'runtime': 38},0.43906304009332486,6.212494850158691,0,auto,True,False,28,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],0.59375,False,False,False,0.43906304009332486
1275,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,65.95694136619568,1.0,1725073519.574093,{'runtime': 65},0.0005098993078258856,5.606260776519775,0,auto,True,False,8,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],5.46875,False,False,False,0.0005098993078258856
1276,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,39.19741940498352,1.0,1725073448.7053444,{'runtime': 38},0.43906304009332486,6.23054838180542,0,auto,True,False,27,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],0.59375,False,False,False,0.43906304009332486
1277,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,65.17665600776672,1.0,1725073440.305501,{'runtime': 64},0.0005098993078258856,5.606260776519775,0,auto,True,False,7,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],5.46875,False,False,False,0.0005098993078258856
1278,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,40.09705853462219,1.0,1725073399.2749755,{'runtime': 39},0.43906304009332486,6.211108207702637,0,auto,True,False,26,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],0.59375,False,False,False,0.43906304009332486
1279,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,39.402079582214355,1.0,1725073348.2830515,{'runtime': 38},0.43906304009332486,6.205565452575684,0,auto,True,False,25,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],0.59375,False,False,False,0.43906304009332486
1280,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,65.91850566864014,1.0,1725073364.2285078,{'runtime': 65},0.0005098993078258856,5.607512474060059,0,auto,True,False,6,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],5.46875,False,False,False,0.0005098993078258856
1281,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,39.51469802856445,1.0,1725073298.043855,{'runtime': 38},0.43906304009332486,6.220820903778076,0,auto,True,False,24,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],0.59375,False,False,False,0.43906304009332486
1282,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,66.74597954750061,1.0,1725073287.2000165,{'runtime': 64},0.0005098993078258856,5.607512474060059,0,auto,True,False,5,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],5.46875,False,False,False,0.0005098993078258856
1283,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,39.86299705505371,1.0,1725073246.78038,{'runtime': 39},0.43906304009332486,6.215269088745117,0,auto,True,False,23,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],0.59375,False,False,False,0.43906304009332486
1284,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,39.46822118759155,1.0,1725073195.9700842,{'runtime': 39},0.43906304009332486,6.258424758911133,0,auto,True,False,22,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],0.59375,False,False,False,0.43906304009332486
1285,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,65.91551113128662,1.0,1725073210.444617,{'runtime': 65},0.0005098993078258856,5.610015869140625,0,auto,True,False,4,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],5.46875,False,False,False,0.0005098993078258856
1286,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,39.21340227127075,1.0,1725073145.3732102,{'runtime': 38},0.43906304009332486,6.344223499298096,0,auto,True,False,21,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],0.59375,False,False,False,0.43906304009332486
1287,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,65.3861391544342,1.0,1725073130.929017,{'runtime': 64},0.0005098993078258856,5.610015869140625,0,auto,True,False,3,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],5.46875,False,False,False,0.0005098993078258856
1288,meta-llama/Meta-Llama-3.1-8B,a20438af41000230cb0969766a200b6d9bea881d,39.222527265548706,1.0,1725073095.196345,{'runtime': 38},0.43906304009332486,6.262617111206055,0,auto,True,False,20,meta-llama/Meta-Llama-3.1-8B,,8192,['wikitext2'],0.59375,False,False,False,0.43906304009332486
