,solution_size,solution_pred_err,solution_real_err
0,2.0,12.044151800540915,2043868.0187392235
1,2.125,7.819259012820464,6260.16522359848
2,2.28125,6.550907243301362,258.8507399559021
3,2.4375,5.390277171345677,79.82975149154663
4,2.59375,4.31927232588987,14.062230587005615
5,2.75,3.3245748245678284,5.267841815948486
6,2.90625,2.423402378115417,3.1332755088806152
7,3.0625,1.640179092027398,1.7811470031738281
8,3.21875,1.3916327019693455,1.3817543983459473
9,3.375,1.1849836688911084,1.1110472679138184
10,3.53125,0.9836046096414086,1.0216827392578125
11,3.6875,0.7962748879409365,0.8235011100769043
12,3.84375,0.6222921026254229,0.6326375007629395
13,4.0,0.4646678077267223,0.46503114700317383
14,4.125,0.3526380159830425,0.34295225143432617
15,4.25,0.31313747679603,0.31116628646850586
16,4.375,0.29399125530537196,0.2940201759338379
17,4.5,0.28122729216507253,0.2821793556213379
18,4.75,0.2564363582619481,0.24941110610961914
19,4.875,0.2443496168851067,0.23765945434570312
20,5.0,0.23259253637398825,0.22593116760253906
21,5.125,0.22107263441199315,0.2181258201599121
22,5.375,0.19828735428434413,0.2012491226196289
23,5.5,0.18715729663135705,0.18959379196166992
24,5.625,0.17640843880432328,0.17667102813720703
25,5.75,0.16576813918640954,0.1663527488708496
26,6.0,0.14463827671607465,0.14834213256835938
27,6.125,0.13451092542813992,0.1380753517150879
28,6.25,0.12456294368176471,0.12270927429199219
29,6.375,0.11469387828858107,0.11376523971557617
30,6.5,0.10492278993584533,0.10355949401855469
31,6.75,0.08579380242493298,0.08955717086791992
32,6.875,0.07641135531872119,0.08066415786743164
33,7.0,0.06737068897179893,0.06798410415649414
34,7.125,0.05836166504030199,0.060390472412109375
35,7.375,0.040967712406904985,0.043970584869384766
36,7.5,0.03278715335981373,0.036408424377441406
37,7.625,0.02495528188333686,0.02885580062866211
38,7.75,0.017134365620443147,0.02382659912109375
39,8.0,0.0017817156283938295,0.0075130462646484375
